expr;mon_ru;mon_lu;mon_rd;mon_ld;quant;cons_l;cons_r;compl
lambda a, b: set(a) <= set(b[:3]);1.0;0.37922784554470645;0.7533172446861583;1.0;0.8334180311956167;1.0;0.7859577310169883;534.1232999556556
lambda a, b: set(a) <= set(b[-3:]);0.7872538485752187;0.37922784554470645;0.7533172446861583;1.0;0.8334180311956167;0.8699315490232506;0.7859577310169883;298.5612292059819
lambda a, b: set(a) <= set(b[:4]);1.0;0.4096328978045072;0.6745582709903009;1.0;0.821655320569765;1.0;0.7793362918794959;646.4261476386397
lambda a, b: set(a) <= set(b[-4:]);0.7890746056796843;0.4096328978045072;0.6745582709903009;1.0;0.821655320569765;0.8689913662105813;0.7793362918794959;312.25669843561406
lambda a, b: set(a) <= set(b[:5]);1.0;0.4445272183170932;0.5867929935010655;1.0;0.8194082139462194;1.0;0.774536382540009;712.1643999408742
lambda a, b: set(a) <= set(b[-5:]);0.7937907929183207;0.4445272183170932;0.5867929935010655;1.0;0.8194082139462194;0.8721860218414238;0.774536382540009;323.21307381931985
lambda a, b: set(a) <= set(b[:6]);1.0;0.48509803851294875;0.4876805606423975;1.0;0.8266430193578296;1.0;0.7724037037179354;736.8162445542122
lambda a, b: set(a) <= set(b[-6:]);0.8034420828667556;0.48509803851294875;0.4876805606423975;1.0;0.8266430193578296;0.8795719651808681;0.7724037037179354;336.908543048952
lambda a, b: set(a) <= set(b[:7]);1.0;0.5327247620874108;0.3755538878025537;1.0;0.8449336761856721;1.0;0.7745946041347702;714.9034937868006
lambda a, b: set(a) <= set(b[-7:]);0.8211784713631458;0.5327247620874108;0.3755538878025537;1.0;0.8449336761856721;0.892640524927846;0.7745946041347702;347.8649184326578
lambda a, b: set(a) <= set(b[:8]);1.0;0.5885779976054156;0.25049661817088453;1.0;0.8773481094782172;1.0;0.784046273578914;651.9043353304925
lambda a, b: set(a) <= set(b[-8:]);0.8521629427790718;0.5885779976054156;0.25049661817088453;1.0;0.8773481094782172;0.9142407846145971;0.784046273578914;361.56038766229
lambda a, b: set(a) <= set(b[:9]);1.0;0.6516042165850797;0.11785525840964473;1.0;0.9283282270302263;1.0;0.805660322677686;542.340581493435
lambda a, b: set(a) <= set(b[-9:]);0.9051178490111355;0.6516042165850797;0.11785525840964473;1.0;0.9283282270302263;0.9487678190412643;0.805660322677686;369.7776692000693
lambda a, b: set(b) <= set(a[:1]);0.32802451428812496;1.0;1.0;0.8983823852309405;0.9021309285170512;0.8042618570341025;1.0;268.431196900791
lambda a, b: set(b) <= set(a[-1:]);0.32802451428812496;0.7864948617796959;1.0;0.8983823852309405;0.9021309285170512;0.8042618570341025;0.9021309285170512;271.1702907467175
lambda a, b: set(b) <= set(a[:2]);0.35232219093858996;1.0;1.0;0.8261115212346969;0.8572906418055041;0.7941472657552403;1.0;394.42951381340725
lambda a, b: set(b) <= set(a[-2:]);0.35232219093858996;0.7868449138942832;1.0;0.8261115212346969;0.8572906418055041;0.7941472657552403;0.8775571241149599;282.12666613042325
lambda a, b: set(b) <= set(a[:3]);0.37922784554470645;1.0;1.0;0.7533172446861583;0.8334180311956167;0.7859577310169883;1.0;514.9496430341705
lambda a, b: set(b) <= set(a[-3:]);0.37922784554470645;0.7872538485752187;1.0;0.7533172446861583;0.8334180311956167;0.7859577310169883;0.8699315490232506;290.3439476682026
lambda a, b: set(b) <= set(a[:4]);0.4096328978045072;1.0;1.0;0.6745582709903009;0.821655320569765;0.7793362918794959;1.0;624.5133968712281
lambda a, b: set(b) <= set(a[-4:]);0.4096328978045072;0.7890746056796843;1.0;0.6745582709903009;0.821655320569765;0.7793362918794959;0.8689913662105813;301.3003230519083
lambda a, b: set(b) <= set(a[:5]);0.4445272183170932;1.0;1.0;0.5867929935010655;0.8194082139462194;0.774536382540009;1.0;687.5125553275363
lambda a, b: set(b) <= set(a[-5:]);0.4445272183170932;0.7937907929183207;1.0;0.5867929935010655;0.8194082139462194;0.774536382540009;0.8721860218414238;309.5176045896876
lambda a, b: set(b) <= set(a[:6]);0.48509803851294875;1.0;1.0;0.4876805606423975;0.8266430193578296;0.7724037037179354;1.0;709.4253060949477
lambda a, b: set(b) <= set(a[-6:]);0.48509803851294875;0.8034420828667556;1.0;0.4876805606423975;0.8266430193578296;0.7724037037179354;0.8795719651808681;320.4739799733934
lambda a, b: set(b) <= set(a[:7]);0.5327247620874108;1.0;1.0;0.3755538878025537;0.8449336761856721;0.7745946041347702;1.0;684.7734614816097
lambda a, b: set(b) <= set(a[-7:]);0.5327247620874108;0.8211784713631458;1.0;0.3755538878025537;0.8449336761856721;0.7745946041347702;0.892640524927846;328.6912615111727
lambda a, b: set(b) <= set(a[:8]);0.5885779976054156;1.0;1.0;0.25049661817088453;0.8773481094782172;0.784046273578914;1.0;619.0352091793752
lambda a, b: set(b) <= set(a[-8:]);0.5885779976054156;0.8521629427790718;1.0;0.25049661817088453;0.8773481094782172;0.784046273578914;0.9142407846145971;339.6476368948785
lambda a, b: set(b) <= set(a[:9]);0.6516042165850797;1.0;1.0;0.11785525840964473;0.9283282270302263;0.805660322677686;1.0;506.73236149639126
lambda a, b: set(b) <= set(a[-9:]);0.6516042165850797;0.9051178490111355;1.0;0.11785525840964473;0.9283282270302263;0.805660322677686;0.9487678190412643;345.12582458673137
lambda a, b: set(a[:1]) <= set(b);1.0;0.994215061993923;0.0;0.4592374035586252;0.2734024780738965;1.0;0.9997004399510997;416.3422645808187
lambda a, b: set(a[:1]) <= set(b[:1]);1.0;0.8665837288060014;0.27398383870310117;0.2741068164991781;0.24889218685463133;1.0;0.9996738270796879;350.6040122785842
lambda a, b: set(a[:1]) <= set(b[-1:]);0.3770975383565618;0.3757341452361507;0.8450447815608326;0.8606650093961599;0.64454194507886;0.8456746790644711;0.9655658916099209;427.2986399645245
lambda a, b: set(a[:1]) <= set(b[:2]);1.0;0.9222038494236452;0.10303274737528456;0.38242242612385946;0.25545415601563537;1.0;0.9996977533315708;432.7768276563774
lambda a, b: set(a[:1]) <= set(b[-2:]);0.28489370586956375;0.42463598007994785;0.7865074084980175;0.8173853375726648;0.5233862720305397;0.8288013394461197;0.9927369331255207;662.8607107141984
lambda a, b: set(a[:1]) <= set(b[:3]);1.0;0.954755714593584;0.035998307355555315;0.4313169423154357;0.26297837138455893;1.0;0.9997001465087402;451.9504845778625
lambda a, b: set(a[:1]) <= set(b[-3:]);0.2411156348018083;0.4512644669046042;0.7198905978206974;0.7746877063525774;0.46186403593490644;0.8284709420881252;0.9978268755445876;849.1190922371961
lambda a, b: set(a[:1]) <= set(b[:4]);1.0;0.9737093481857498;0.012156054562830754;0.44967324880606985;0.26797583754619836;1.0;0.9997004080592664;449.21139073193604
lambda a, b: set(a[:1]) <= set(b[-4:]);0.24022798952592483;0.4704128889215633;0.6320560559232546;0.7239361094326024;0.4093028951839267;0.8350490409381415;0.9990970655347029;975.1174091498124
lambda a, b: set(a[:1]) <= set(b[:5]);1.0;0.9842230908436899;0.004030827985727847;0.4560504086308186;0.27075163743437647;1.0;0.9997004366180544;443.73320304008314
lambda a, b: set(a[:1]) <= set(b[-5:]);0.2905961491620994;0.4988708329454262;0.5151495266730044;0.662969073680515;0.354963106406637;0.8511354453817915;0.9994974073762437;1035.377473760194
lambda a, b: set(a[:1]) <= set(b[:6]);1.0;0.9897511700982295;0.001308646378736844;0.4582010069318141;0.27217957858524067;1.0;0.9997004396443633;440.9941091941567
lambda a, b: set(a[:1]) <= set(b[-6:]);0.4058749553172414;0.5586420854774816;0.366359086846473;0.5933801611683255;0.30114761757809905;0.8806190057862152;0.9996401198308378;1029.899286068341
lambda a, b: set(a[:1]) <= set(b[:7]);1.0;0.9924606809047353;0.00040639605646164423;0.45891537759445433;0.27288223582224114;1.0;0.999700439935234;438.2550153482303
lambda a, b: set(a[:1]) <= set(b[-7:]);0.592106014779441;0.6720111577034433;0.20231301253446055;0.5254338718415997;0.2613595939982398;0.9234543712268373;0.9996880014159705;958.6828460742538
lambda a, b: set(a[:1]) <= set(b[:8]);1.0;0.9936581447637454;0.00011291169343963237;0.4591479170272448;0.2732121435233027;1.0;0.9997004399538542;432.7768276563774
lambda a, b: set(a[:1]) <= set(b[-8:]);0.806869162439727;0.8269872577832891;0.07137286887136451;0.4788064963858367;0.25187134288875146;0.967473917043859;0.9996992172154587;821.7281537779318
lambda a, b: set(a[:1]) <= set(b[:9]);1.0;0.9941029843348097;2.258381002040455e-05;0.45921950410501533;0.27335426916217376;1.0;0.9997004399520912;432.7768276563774
lambda a, b: set(a[:1]) <= set(b[-9:]);0.9545078068526562;0.9512692002426182;0.011467764585383344;0.4615968613931052;0.2642942596924788;0.993538398161108;0.9997004116293713;619.0352091793752
lambda a, b: set(a[:1]) <= set(set(a).difference(b));0.0;0.0;1.0;1.0;0.27340247807389617;1.0;1.0;416.3422645808187
lambda a, b: set(b[:1]) <= set(a);0.994215061993923;1.0;0.4592374035586252;0.0;0.2734024780738965;0.9997004399510997;1.0;386.2122322756279
lambda a, b: set(b[:1]) <= set(a[:1]);0.8665837288060014;1.0;0.2741068164991781;0.27398383870310117;0.24889218685463133;0.9996738270796879;1.0;347.8649184326578
lambda a, b: set(b[:1]) <= set(a[-1:]);0.3757341452361507;0.3770975383565618;0.8606650093961599;0.8450447815608326;0.64454194507886;0.9655658916099209;0.8456746790644711;391.6904199674808
lambda a, b: set(b[:1]) <= set(a[:2]);0.9222038494236452;1.0;0.38242242612385946;0.10303274737528456;0.2554541560156356;0.9996977533315708;1.0;424.55954611859806
lambda a, b: set(b[:1]) <= set(a[-2:]);0.42463598007994785;0.28489370586956375;0.8173853375726648;0.7865074084980175;0.5233862720305397;0.9927369331255207;0.8288013394461197;635.4697722549339
lambda a, b: set(b[:1]) <= set(a[:3]);0.954755714593584;1.0;0.4313169423154357;0.035998307355555315;0.2629783713845588;0.9997001465087402;1.0;440.9941091941567
lambda a, b: set(b[:1]) <= set(a[-3:]);0.4512644669046042;0.2411156348018083;0.7746877063525774;0.7198905978206974;0.4618640359349063;0.9978268755445876;0.8284709420881251;824.4672476238582
lambda a, b: set(b[:1]) <= set(a[:4]);0.9737093481857498;1.0;0.44967324880606985;0.012156054562830754;0.26797583754619847;0.9997004080592664;1.0;435.51592150230385
lambda a, b: set(b[:1]) <= set(a[-4:]);0.4704128889215633;0.24022798952592483;0.7239361094326024;0.6320560559232546;0.4093028951839268;0.9990970655347029;0.8350490409381415;950.4655645364745
lambda a, b: set(b[:1]) <= set(a[:5]);0.9842230908436899;1.0;0.4560504086308186;0.004030827985727847;0.27075163743437636;0.9997004366180544;1.0;427.2986399645245
lambda a, b: set(b[:1]) <= set(a[-5:]);0.4988708329454262;0.2905961491620994;0.662969073680515;0.5151495266730044;0.35496310640663686;0.9994974073762437;0.8511354453817916;1010.7256291468561
lambda a, b: set(b[:1]) <= set(a[:6]);0.9897511700982295;1.0;0.4582010069318141;0.001308646378736844;0.27217957858524044;0.9997004396443633;1.0;421.8204522726717
lambda a, b: set(b[:1]) <= set(a[-6:]);0.5586420854774816;0.4058749553172414;0.5933801611683255;0.366359086846473;0.30114761757809905;0.9996401198308378;0.8806190057862152;1005.2474414550031
lambda a, b: set(b[:1]) <= set(a[:7]);0.9924606809047353;1.0;0.45891537759445433;0.00040639605646164423;0.27288223582224114;0.999700439935234;1.0;416.3422645808187
lambda a, b: set(b[:1]) <= set(a[-7:]);0.6720111577034433;0.592106014779441;0.5254338718415997;0.20231301253446055;0.2613595939982398;0.9996880014159705;0.9234543712268373;934.0310014609158
lambda a, b: set(b[:1]) <= set(a[:8]);0.9936581447637454;1.0;0.4591479170272448;0.00011291169343963237;0.2732121435233027;0.9997004399538542;1.0;408.12498304303944
lambda a, b: set(b[:1]) <= set(a[-8:]);0.8269872577832891;0.806869162439727;0.4788064963858367;0.07137286887136451;0.25187134288875146;0.9996992172154587;0.9674739170438589;797.0763091645938
lambda a, b: set(b[:1]) <= set(a[:9]);0.9941029843348097;1.0;0.45921950410501533;2.258381002040455e-05;0.27335426916217376;0.9997004399520912;1.0;402.6467953511866
lambda a, b: set(b[:1]) <= set(a[-9:]);0.9512692002426182;0.9545078068526562;0.4615968613931052;0.011467764585383344;0.2642942596924788;0.9997004116293713;0.993538398161108;594.3833645660372
lambda a, b: set(b[:1]) <= set(set(b).difference(a));0.0;0.0;1.0;1.0;0.27340247807389606;1.0;1.0;391.6904199674808
lambda a, b: set(a[-1:]) <= set(b);1.0;0.3109767152215823;0.0;0.4592374035586252;0.2734024780738965;1.0;0.6767613143425502;314.99579228154056
lambda a, b: set(a[-1:]) <= set(b[:1]);0.46047244199222837;0.3271684617621785;0.8450447815608326;0.8606650093961599;0.64454194507886;1.0;0.8112405706743919;465.64595380749466
lambda a, b: set(a[-1:]) <= set(b[-1:]);0.5000869947391007;0.462146700841194;0.27398383870310117;0.2741068164991781;0.24889218685463133;0.7654719484844051;0.7651457755640928;243.7793522874531
lambda a, b: set(a[-1:]) <= set(b[:2]);0.35585093439681403;0.33297400943794875;0.7865074084980175;0.8173853375726648;0.5233862720305397;1.0;0.8026310168878399;734.0771507082857
lambda a, b: set(a[-1:]) <= set(b[-2:]);0.7462639351306235;0.36440387436518007;0.10303274737528456;0.38242242612385946;0.25545415601563537;0.8944978527600351;0.7099458735717772;251.99663382523244
